ActionAuditID~ActionAuditType~ActionBy~ActionTimeUTC~EntityID~EntityTypeID~HistoryToken
'1'~'Export Requested'~'580C4EC0-04C1-4496-B286-CFB127A2D988'~'2013-10-28 16:24:24'~'15'~'2'~'9395EE74-DE22-4D08-B00C-1599BE6D1CD4'
'121'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'50'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'122'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'51'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'123'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'52'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'124'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'53'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'125'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'54'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'126'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'55'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'127'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'56'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'128'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'57'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'129'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'58'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'130'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'59'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'131'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'60'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'132'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'61'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'133'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'62'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'134'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'63'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'135'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'64'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'136'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'65'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'137'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'66'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'138'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'67'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'139'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-11-11 03:44:28'~'33'~'1'~'5869D1A3-A41B-4E1D-ACD6-4612C42D0C4F'
